# radius_um, temperature_K
0,5500.07
0.15444,5498.25
0.30888,5492.8
0.46332,5483.72
0.617761,5471.03
0.772201,5454.75
0.926641,5434.92
1.08108,5411.58
1.23552,5384.77
1.38996,5354.55
1.5444,5320.97
1.69884,5284.11
1.85328,5244.02
2.00772,5200.8
2.16216,5154.52
2.3166,5105.27
2.47104,5053.15
2.62548,4998.25
2.77992,4940.68
2.93436,4880.54
3.0888,4817.95
3.24324,4753.02
3.39768,4685.87
3.55212,4616.61
3.70656,4545.38
3.861,4472.29
4.01544,4397.48
4.16988,4321.07
4.32432,4243.19
4.47876,4163.97
4.6332,4083.55
4.78764,4002.05
4.94208,3919.61
5.09653,3836.35
5.25097,3752.4
5.40541,3667.89
5.55985,3582.96
5.71429,3497.72
5.86873,3412.29
6.02317,3326.81
6.17761,3241.37
6.33205,3156.12
6.48649,3071.14
6.64093,2986.57
6.79537,2902.5
6.94981,2819.03
7.10425,2736.28
7.25869,2654.33
7.41313,2573.28
7.56757,2493.23
7.72201,2414.25
7.87645,2336.44
8.03089,2259.88
8.18533,2184.64
8.33977,2110.81
8.49421,2038.44
8.64865,1967.61
8.80309,1898.39
8.95753,1830.84
9.11197,1765.03
9.26641,1701
9.42085,1638.83
9.57529,1578.56
9.72973,1520.26
9.88417,1463.97
10.0386,1409.75
10.1931,1357.65
10.3475,1307.72
10.5019,1260.01
10.6564,1214.59
10.8108,1171.49
10.9653,1130.77
11.1197,1092.48
11.2741,1056.68
11.4286,1023.41
11.583,992.72
11.7375,964.667
11.8919,939.293
12.0463,916.641
12.2008,896.752
12.3552,879.657
12.5097,865.384
12.6641,853.951
12.8185,845.363
12.973,839.617
13.1274,836.692
13.2819,836.551
13.4363,839.142
13.5907,844.389
13.7452,852.2
13.8996,862.457
14.0541,875.024
14.2085,889.742
14.3629,906.432
14.5174,924.898
14.6718,944.929
14.8263,966.299
14.9807,988.777
15.1351,1012.13
15.2896,1036.11
15.444,1060.49
15.5985,1085.05
15.7529,1109.57
15.9073,1133.86
16.0618,1157.74
16.2162,1181.05
16.3707,1203.65
16.5251,1225.44
16.6795,1246.31
16.834,1266.2
16.9884,1285.06
17.1429,1302.86
17.2973,1319.57
17.4517,1335.21
17.6062,1349.78
17.7606,1363.31
17.9151,1375.83
18.0695,1387.37
18.2239,1397.99
18.3784,1407.73
18.5328,1416.65
18.6873,1424.78
18.8417,1432.2
18.9961,1438.93
19.1506,1445.05
19.305,1450.59
19.4595,1455.6
19.6139,1460.13
19.7683,1464.21
19.9228,1467.89
20.0772,1471.21
20.2317,1474.19
20.3861,1476.87
20.5405,1479.27
20.695,1481.43
20.8494,1483.36
21.0039,1485.09
21.1583,1486.65
21.3127,1488.03
21.4672,1489.28
21.6216,1490.39
21.7761,1491.39
21.9305,1492.28
22.0849,1493.07
22.2394,1493.79
22.3938,1494.42
22.5483,1494.99
22.7027,1495.5
22.8571,1495.96
23.0116,1496.37
23.166,1496.73
23.3205,1497.06
23.4749,1497.35
23.6293,1497.61
23.7838,1497.85
23.9382,1498.06
24.0927,1498.25
24.2471,1498.42
24.4015,1498.57
24.556,1498.71
24.7104,1498.83
24.8649,1498.94
25.0193,1499.04
25.1737,1499.13
25.3282,1499.21
25.4826,1499.28
25.6371,1499.35
25.7915,1499.41
25.9459,1499.46
26.1004,1499.51
26.2548,1499.56
26.4093,1499.6
26.5637,1499.63
26.7181,1499.66
26.8726,1499.69
27.027,1499.72
27.1815,1499.75
27.3359,1499.77
27.4903,1499.79
27.6448,1499.81
27.7992,1499.82
27.9537,1499.84
28.1081,1499.85
28.2625,1499.87
28.417,1499.88
28.5714,1499.89
28.7259,1499.9
28.8803,1499.91
29.0347,1499.92
29.1892,1499.92
29.3436,1499.93
29.4981,1499.94
29.6525,1499.94
29.8069,1499.95
29.9614,1499.95
30.1158,1499.96
30.2703,1499.96
30.4247,1499.96
30.5792,1499.97
30.7336,1499.97
30.888,1499.97
31.0425,1499.97
31.1969,1499.98
31.3514,1499.98
31.5058,1499.98
31.6602,1499.98
31.8147,1499.98
31.9691,1499.99
32.1236,1499.99
32.278,1499.99
32.4324,1499.99
32.5869,1499.99
32.7413,1499.99
32.8958,1499.99
33.0502,1499.99
33.2046,1499.99
33.3591,1499.99
33.5135,1499.99
33.668,1499.99
33.8224,1500
33.9768,1500
34.1313,1500
34.2857,1500
34.4402,1500
34.5946,1500
34.749,1500
34.9035,1500
35.0579,1500
35.2124,1500
35.3668,1500
35.5212,1500
35.6757,1500
35.8301,1500
35.9846,1500
36.139,1500
36.2934,1500
36.4479,1500
36.6023,1500
36.7568,1500
36.9112,1500
37.0656,1500
37.2201,1500
37.3745,1500
37.529,1500
37.6834,1500
37.8378,1500
37.9923,1500
38.1467,1500
38.3012,1500
38.4556,1500
38.61,1500
38.7645,1500
38.9189,1500
39.0734,1500
39.2278,1500
39.3822,1500
39.5367,1500
39.6911,1500
39.8456,1500
40,1500
