# radius_um, temperature_K
0,6000
0.182648,5995.12
0.365297,5984.17
0.547945,5968.5
0.730594,5948.72
0.913242,5925.21
1.09589,5898.27
1.27854,5868.13
1.46119,5834.99
1.64384,5799.03
1.82648,5760.41
2.00913,5719.27
2.19178,5675.74
2.37443,5629.96
2.55708,5582.05
2.73973,5532.12
2.92237,5480.28
3.10502,5426.64
3.28767,5371.31
3.47032,5314.37
3.65297,5255.94
3.83562,5196.1
4.01826,5134.95
4.20091,5072.58
4.38356,5009.07
4.56621,4944.52
4.74886,4878.99
4.93151,4812.59
5.11416,4745.38
5.2968,4677.44
5.47945,4608.85
5.6621,4539.68
5.84475,4470
6.0274,4399.89
6.21005,4329.42
6.39269,4258.63
6.57534,4187.62
6.75799,4116.42
6.94064,4045.12
7.12329,3973.75
7.30594,3902.39
7.48858,3831.08
7.67123,3759.88
7.85388,3688.84
8.03653,3618.01
8.21918,3547.44
8.40183,3477.17
8.58447,3407.25
8.76712,3337.71
8.94977,3268.6
9.13242,3199.97
9.31507,3131.83
9.49772,3064.23
9.68037,2997.21
9.86301,2930.79
10.0457,2865.01
10.2283,2799.88
10.411,2735.45
10.5936,2671.73
10.7763,2608.75
10.9589,2546.52
11.1416,2485.08
11.3242,2424.44
11.5068,2364.61
11.6895,2305.62
11.8721,2247.47
12.0548,2190.18
12.2374,2133.77
12.4201,2078.24
12.6027,2023.6
12.7854,1969.86
12.968,1917.03
13.1507,1865.12
13.3333,1814.13
13.516,1764.05
13.6986,1714.91
13.8813,1666.69
14.0639,1619.4
14.2466,1573.04
14.4292,1527.6
14.6119,1483.09
14.7945,1439.51
14.9772,1396.84
15.1598,1355.09
15.3425,1314.25
15.5251,1274.31
15.7078,1235.27
15.8904,1197.12
16.0731,1159.86
16.2557,1123.47
16.4384,1087.95
16.621,1053.29
16.8037,1019.48
16.9863,986.508
17.1689,954.365
17.3516,923.041
17.5342,892.525
17.7169,862.805
17.8995,833.87
18.0822,805.709
18.2648,778.309
18.4475,751.658
18.6301,725.744
18.8128,700.554
18.9954,676.075
19.1781,652.295
19.3607,629.201
19.5434,606.78
19.726,585.018
19.9087,563.902
20.0913,543.42
20.274,523.558
20.4566,504.304
20.6393,485.643
20.8219,467.564
21.0046,450.052
21.1872,433.095
21.3699,416.68
21.5525,400.795
21.7352,385.426
21.9178,370.56
22.1005,356.186
22.2831,342.291
22.4658,328.863
22.6484,315.89
22.8311,303.359
23.0137,291.259
23.1963,279.578
23.379,268.305
23.5616,257.428
23.7443,246.937
23.9269,236.82
24.1096,227.067
24.2922,217.666
24.4749,208.609
24.6575,199.883
24.8402,191.481
25.0228,183.39
25.2055,175.603
25.3881,168.109
25.5708,160.9
25.7534,153.966
25.9361,147.298
26.1187,140.889
26.3014,134.729
26.484,128.81
26.6667,123.124
26.8493,117.664
27.032,112.422
27.2146,107.39
27.3973,102.561
27.5799,97.9279
27.7626,93.4843
27.9452,89.2232
28.1279,85.1381
28.3105,81.2227
28.4932,77.4708
28.6758,73.8765
28.8584,70.4341
29.0411,67.1378
29.2237,63.9822
29.4064,60.9621
29.589,58.0723
29.7717,55.3079
29.9543,52.664
30.137,50.136
30.3196,47.7193
30.5023,45.4097
30.6849,43.2029
30.8676,41.0947
31.0502,39.0813
31.2329,37.1589
31.4155,35.3237
31.5982,33.5722
31.7808,31.9009
31.9635,30.3067
32.1461,28.7861
32.3288,27.3363
32.5114,25.9542
32.6941,24.6369
32.8767,23.3817
33.0594,22.1859
33.242,21.047
33.4247,19.9625
33.6073,18.9301
33.79,17.9474
33.9726,17.0123
34.1553,16.1226
34.3379,15.2765
34.5205,14.4718
34.7032,13.7067
34.8858,12.9795
35.0685,12.2884
35.2511,11.6318
35.4338,11.008
35.6164,10.4157
35.7991,9.85324
35.9817,9.31931
36.1644,8.81257
36.347,8.33174
36.5297,7.87558
36.7123,7.44293
36.895,7.03266
37.0776,6.6437
37.2603,6.27501
37.4429,5.92563
37.6256,5.5946
37.8082,5.28102
37.9909,4.98406
38.1735,4.70287
38.3562,4.43668
38.5388,4.18474
38.7215,3.94635
38.9041,3.72081
39.0868,3.50748
39.2694,3.30575
39.4521,3.11501
39.6347,2.93472
39.8174,2.76432
40,2.60332
